Entity Class,Name Key,Short Name Key,Description Key,Manufacturer,Size,Grade,Class,Health,Alignment Rate,Alignment Decay,Tuning Rate,Tuning Decay,Fuel Usage Mult,Distortion Shutdown Damage,Distortion Decay Delay,Distortion Decay Rate,Distortion Shutdown Time
jdrv_tars_s01_explorer,item_NameJUMP_TARS_S1_C,,item_DescJUMP_TARS_S1_C,TARS,1,1,UNDEFINED,130,0.33,0.1,0.2,0.5,1,1000,1,200,6
jdrv_tars_s02_excelsior,item_NameJUMP_TARS_S2_C,,item_DescJUMP_TARS_S2_C,TARS,2,3,UNDEFINED,350,0.2,0.1,0.22,0.5,1.5,1200,1,240,6
jdrv_tars_s03_exodus,item_NameJUMP_TARS_S3_C,,item_DescJUMP_TARS_S3_C,TARS,3,3,UNDEFINED,960,0.2,0.1,0.24,0.5,4.5,1440,1,288,6
jdrv_tars_s04_c_explorer,LOC_PLACEHOLDER,,,TARS,4,3,UNDEFINED,2700,0.2,0.1,0.26,0.5,8,1728,1,345.6,6
jdrv_wetk_s04_idris,item_NameJDRV_WETK_S04_Idris,,item_DescJDRV_WETK_S04_Idris,,4,1,UNDEFINED,41000,0.2,0.1,0.26,0.5,8,1728,1,345.6,6
jumpdriveflighttuning_default,,,,,,,,,,,,,,,,,
jumpdriveflighttuning_s01,,,,,,,,,,,,,,,,,
jumpdriveflighttuning_s02,,,,,,,,,,,,,,,,,
jumpdriveflighttuning_s03,,,,,,,,,,,,,,,,,
jumpdriveflighttuning_s04,,,,,,,,,,,,,,,,,
jumptunnelforces_default,,,,,,,,,,,,,,,,,
jumptunnelforces_s01,,,,,,,,,,,,,,,,,
jumptunnelforces_s01_modified_easy,,,,,,,,,,,,,,,,,
jumptunnelforces_s01_modified_high_control,,,,,,,,,,,,,,,,,
jumptunnelforces_s02,,,,,,,,,,,,,,,,,
jumptunnelforces_s03,,,,,,,,,,,,,,,,,
jumptunnelforces_s04,,,,,,,,,,,,,,,,,
