Entity Class,Name Key,Short Name Key,Description Key,Manufacturer,Size,Grade,Class,Health,Power Max,Range Max,Range Min,Throttle Min,Power Min,Instability Modifier,Resistance Modifier,Optimal Charge Zone,Optimal Rate,Inert Materials
mining_laser_test_best,item_Mining_MiningLaser_Thermyte_1_S2,,item_Mining_MiningLaser_Thermyte_1_S2_Desc,THCN,2,1,Gun,8000,2000,30,90,0.001,2,,,,,
mining_laser_test,item_Mining_MiningLaser_Thermyte_1_S2,,item_Mining_MiningLaser_Thermyte_1_S2_Desc,THCN,2,1,Gun,8000,2000,30,90,0.001,2,,,,,
mining_laser_thcn_helix_s0,item_NameMining_Head_S00_Helix_SCItem,item_shortMining_Head_S00_Helix_SCItem,item_descMining_Head_S00_Helix_SCItem,THCN,0,1,Gun,8000,1,8,18,0.15,0.15,,,-40,20,
mining_laser_thcn_helix_s1,item_Mining_MiningLaser_Thermyte_2_S1,,item_Mining_MiningLaser_Thermyte_2_S1_Desc,THCN,1,1,Gun,8000,3150,15,45,0.2,630,,-30,-40,,30
mining_laser_thcn_helix_s2,item_Mining_MiningLaser_Thermyte_2_S2,,item_Mining_MiningLaser_Thermyte_2_S2_Desc,THCN,2,1,Gun,8000,4080,30,90,0.3,1224,,-30,-40,,40
mining_laser_thcn_impact_s1,item_Mining_MiningLaser_Thermyte_1_S1,,item_Mining_MiningLaser_Thermyte_1_S1_Desc,THCN,1,1,Gun,8000,2100,45,135,0.2,420,-10,10,20,-40,30
mining_laser_thcn_impact_s2,item_Mining_MiningLaser_Thermyte_1_S2,,item_Mining_MiningLaser_Thermyte_1_S2_Desc,THCN,2,1,Gun,8000,3360,60,180,0.3,1008,-10,10,20,-40,40
mining_laser_drak_golem_s1,item_Mining_MiningLaser_Drake_Default_S0,,item_Mining_MiningLaser_Drake_Default_S0_Desc,DRAK,1,1,Gun,8000,3150,40,45,0.2,630,35,25,40,-40,40
mining_laser_grin_arbor_s0,item_Mining_MiningLaser_Greycat_Default_S0,item_shortMining_Head_S00_Arbor_SCItem,item_Mining_MiningLaser_Greycat_Default_S0_Desc,GRIN,0,1,Gun,8000,0.8,5,15,0.2,0.16,-40,,,,
mining_laser_grin_arbor_s1_test_active_1,item_Mining_MiningLaser_Greycat_Default_S1,,item_Mining_MiningLaser_Greycat_Default_S1_Desc,MISC,1,1,Gun,8000,1890,60,180,0.05,94.5,-35,25,40,,30
mining_laser_grin_arbor_s1,item_Mining_MiningLaser_Greycat_Default_S1,,item_Mining_MiningLaser_Greycat_Default_S1_Desc,MISC,1,1,Gun,8000,1890,60,180,0.05,94.5,-35,25,40,,30
mining_laser_grin_arbor_s2,item_Mining_MiningLaser_Greycat_Default_S2,,item_Mining_MiningLaser_Greycat_Default_S2_Desc,MISC,2,1,Gun,8000,2400,90,270,0.05,120,-35,25,40,,40
mining_laser_grin_lancet_s1,item_Mining_MiningLaser_Greycat_1_S1,,item_Mining_MiningLaser_Greycat_1_S1_Desc,GRIN,1,1,Gun,8000,2520,30,90,0.2,504,-10,,-60,40,30
mining_laser_grin_lancet_s2,item_Mining_MiningLaser_Greycat_1_S2,,item_Mining_MiningLaser_Greycat_1_S2_Desc,GRIN,2,1,Gun,8000,3600,45,135,0.3,1080,-10,,-60,40,40
mining_laser_mpuv_arm,item_Mining_MiningLaser_Greycat_Default_S1,,item_Mining_MiningLaser_Greycat_Default_S1_Desc,MISC,1,1,Gun,8000,1850,30,150,0.001,1.85,,,,,
mining_laser_s0_template,item_Mining_MiningLaser_Greycat_Default_S0,,item_Mining_MiningLaser_Greycat_Default_S0_Desc,GRIN,0,1,Gun,8000,0.8,5,15,0.3,0.24,0,0,0,0,
mining_laser_s1_template,item_Mining_MiningLaser_Greycat_Default_S1,,item_Mining_MiningLaser_Greycat_Default_S1_Desc,MISC,1,1,Gun,8000,1890,60,180,0.05,94.5,0,0,0,0,0
mining_laser_shin_hofstede_s0,item_NameMining_Head_S00_Hofstede_SCItem,item_shortMining_Head_S00_Hofstede_SCItem,item_descMining_Head_S00_Hofstede_SCItem,SHIN,0,1,Gun,8000,0.8,8,18,0.2,0.16,30,-40,40,20,
mining_laser_shin_hofstede_s1,item_Mining_MiningLaser_Shubin_1_S1,,item_Mining_MiningLaser_Shubin_1_S1_Desc,SHIN,1,1,Gun,8000,2100,45,135,0.05,105,10,-30,60,20,30
mining_laser_shin_hofstede_s2,item_Mining_MiningLaser_Shubin_1_S2,,item_Mining_MiningLaser_Shubin_1_S2_Desc,SHIN,2,1,Gun,8000,3360,60,180,0.1,336,10,-30,60,20,40
mining_laser_shin_klein_s0,item_NameMining_Head_S00_Klein_SCItem,item_shortMining_Head_S00_Klein_SCItem,item_descMining_Head_S00_Klein_SCItem,SHIN,0,1,Gun,8000,0.8,5,15,0.2,0.16,30,-40,40,0,
mining_laser_shin_klein_s1,item_Mining_MiningLaser_Shubin_2_S1,,item_Mining_MiningLaser_Shubin_2_S1_Desc,SHIN,1,1,Gun,8000,2520,45,135,0.15,378,35,-45,20,,30
mining_laser_shin_klein_s2,item_Mining_MiningLaser_Shubin_2_S2,,item_Mining_MiningLaser_Shubin_2_S2_Desc,SHIN,2,1,Gun,8000,3600,60,180,0.2,720,35,-45,20,,40
mining_laser_test_best,item_Mining_MiningLaser_Thermyte_1_S2,,item_Mining_MiningLaser_Thermyte_1_S2_Desc,THCN,2,1,Gun,8000,2000,30,90,0.001,2,,,,,
mining_laser_test,item_Mining_MiningLaser_Thermyte_1_S2,,item_Mining_MiningLaser_Thermyte_1_S2_Desc,THCN,2,1,Gun,8000,2000,30,90,0.001,2,,,,,
mining_laser_thcn_helix_s0,item_NameMining_Head_S00_Helix_SCItem,item_shortMining_Head_S00_Helix_SCItem,item_descMining_Head_S00_Helix_SCItem,THCN,0,1,Gun,8000,1,8,18,0.15,0.15,,,-40,20,
mining_laser_thcn_helix_s1,item_Mining_MiningLaser_Thermyte_2_S1,,item_Mining_MiningLaser_Thermyte_2_S1_Desc,THCN,1,1,Gun,8000,3150,15,45,0.2,630,,-30,-40,,30
mining_laser_thcn_helix_s2,item_Mining_MiningLaser_Thermyte_2_S2,,item_Mining_MiningLaser_Thermyte_2_S2_Desc,THCN,2,1,Gun,8000,4080,30,90,0.3,1224,,-30,-40,,40
mining_laser_thcn_impact_s1,item_Mining_MiningLaser_Thermyte_1_S1,,item_Mining_MiningLaser_Thermyte_1_S1_Desc,THCN,1,1,Gun,8000,2100,45,135,0.2,420,-10,10,20,-40,30
mining_laser_thcn_impact_s2,item_Mining_MiningLaser_Thermyte_1_S2,,item_Mining_MiningLaser_Thermyte_1_S2_Desc,THCN,2,1,Gun,8000,3360,60,180,0.3,1008,-10,10,20,-40,40
