Entity Class,Name Key,Short Name Key,Description Key,Manufacturer,Size,Grade,Class,Health,Type,Charges,Duration,Power Modifier Mining,Power Modifier Extract,Resistance,Instability,Optimal Charge Zone,Optimal Rate,Shatter Damage,Cluster Factor,Overcharge Rate,Inert Materials
mining_modules_passive_torrent_mk3,item_Mining_Modules_Passive_Torrent_MK3,,item_Mining_Modules_Passive_Torrent_MK3_Desc,THCN,1,1,Gun,200,Module,1,,1,1,,,-1,45,,,,
mining_modules_passive_vaux_mk1,item_Mining_Modules_Passive_Vaux_MK1,,item_Mining_Modules_Passive_Vaux_MK1_Desc,SHIN,1,1,Gun,200,Module,1,,1,1.15,,,,-20,,,,
mining_modules_passive_vaux_mk2,item_Mining_Modules_Passive_Vaux_MK2,,item_Mining_Modules_Passive_Vaux_MK2_Desc,SHIN,1,1,Gun,200,Module,1,,1,1.2,,,,-15,,,,
mining_modules_passive_vaux_mk3,item_Mining_Modules_Passive_Vaux_MK3,,item_Mining_Modules_Passive_Vaux_MK3_Desc,SHIN,1,1,Gun,200,Module,1,,1,1.25,,,,-5,,,,
mining_modules_passive_xtr_mk1,item_Mining_Modules_Passive_XTR_MK1,,item_Mining_Modules_Passive_XTR_MK1_Desc,GRIN,1,1,Gun,200,Module,1,,1,0.85,,,15,,,,,5
mining_modules_passive_xtr_mk2,item_Mining_Modules_Passive_XTR_MK2,,item_Mining_Modules_Passive_XTR_MK2_Desc,GRIN,1,1,Gun,200,Module,1,,1,0.9,,,22,,,,,5.75
mining_modules_passive_xtr_mk3,item_Mining_Modules_Passive_XTR_MK3,,item_Mining_Modules_Passive_XTR_MK3_Desc,GRIN,1,1,Gun,200,Module,1,,1,0.95,,,25,,,,,6
mining_modules_vehiclemod_argogeo,item_Mining_Modules_VehicleMod_ARGOGeo_Name,,item_Mining_Modules_VehicleMod_ARGOGeo_Desc,THCN,1,1,Gun,200,Module,0,,0.15,1,,,,,,,,
mining_modules_vehiclemod_rocds,item_Mining_Modules_VehicleMod_ROCds_Name,,item_Mining_Modules_VehicleMod_ROCds_Desc,THCN,1,1,Gun,200,Module,0,,1,1,,,,,,,,
mining_modules_active_brandt,item_Mining_Consumable_Brandt,,item_Mining_Consumable_Brandt_Desc,MISC,1,1,Gun,200,Module,5,60,1.35,1,15.5,,,,-30,,,
mining_modules_active_forel,item_Mining_Consumable_Forel,,item_Mining_Consumable_Forel_Desc,SHIN,1,1,Gun,200,Module,6,60,1,1.5,15.5,,,,,,-60,
mining_modules_active_lifeline,item_Mining_Consumable_Lifeline,,item_Mining_Consumable_Lifeline_Desc,GRIN,1,1,Gun,200,Module,3,15,1,1,-15.5,-20,,,,,60,
mining_modules_active_optimum,item_Mining_Consumable_Optimum,,item_Mining_Consumable_Optimum_Desc,GRIN,1,1,Gun,200,Module,5,60,0.85,1,,-10,,,,,-80,
mining_modules_active_rime,item_Mining_Consumable_Rime,,item_Mining_Consumable_Rime_Desc,GRIN,1,1,Gun,200,Module,10,20,0.85,1,-24.8,,,,-10,,,
mining_modules_active_stampede,item_Mining_Consumable_Stampede,,item_Mining_Consumable_Stampede_Desc,THCN,1,1,Gun,200,Module,6,30,1.35,0.85,,-10,,,-10,,,
mining_modules_active_surge,item_Mining_Consumable_Surge,,item_Mining_Consumable_Surge_Desc,THCN,1,1,Gun,200,Module,7,15,1.5,1,-15.5,10,,,,,,
mining_modules_active_torpid,item_Mining_Consumable_Torpid,,item_Mining_Consumable_Torpid_Desc,GRIN,1,1,Gun,200,Module,5,60,1,1,,,,60,40,,-60,
mining_modules_passive_fltr_mk1,item_Mining_Modules_Passive_FLTR_MK1,,item_Mining_Modules_Passive_FLTR_MK1_Desc,GRIN,1,1,Gun,200,Module,1,,1,0.85,,,,,,,,20
mining_modules_passive_fltr_mk2,item_Mining_Modules_Passive_FLTR_MK2,,item_Mining_Modules_Passive_FLTR_MK2_Desc,GRIN,1,1,Gun,200,Module,1,,1,0.9,,,,,,,,23
mining_modules_passive_fltr_mk3,item_Mining_Modules_Passive_FLTR_MK3,,item_Mining_Modules_Passive_FLTR_MK3_Desc,GRIN,1,1,Gun,200,Module,1,,1,0.95,,,,,,,,24
mining_modules_passive_focus_mk1,item_Mining_Modules_Passive_Focus_MK1,,item_Mining_Modules_Passive_Focus_MK1_Desc,THCN,1,1,Gun,200,Module,1,,0.85,1,,,30,,,,,
mining_modules_passive_focus_mk2,item_Mining_Modules_Passive_Focus_MK2,,item_Mining_Modules_Passive_Focus_MK2_Desc,THCN,1,1,Gun,200,Module,1,,0.9,1,,,37,,,,,
mining_modules_passive_focus_mk3,item_Mining_Modules_Passive_Focus_MK3,,item_Mining_Modules_Passive_Focus_MK3_Desc,THCN,1,1,Gun,200,Module,1,,0.95,1,,,40,,,,,
mining_modules_passive_rieger_mk1,item_Mining_Modules_Passive_Rieger_MK1,,item_Mining_Modules_Passive_Rieger_MK1_Desc,SHIN,1,1,Gun,200,Module,1,,1.15,1,,,-10,,,,,
mining_modules_passive_rieger_mk2,item_Mining_Modules_Passive_Rieger_MK2,,item_Mining_Modules_Passive_Rieger_MK2_Desc,SHIN,1,1,Gun,200,Module,1,,1.2,1,,,-3,,,,,
mining_modules_passive_rieger_mk3,item_Mining_Modules_Passive_Rieger_MK3,,item_Mining_Modules_Passive_Rieger_MK3_Desc,SHIN,1,1,Gun,200,Module,1,,1.25,1,,,-1,,,,,
mining_modules_passive_torrent_mk1,item_Mining_Modules_Passive_Torrent_MK1,,item_Mining_Modules_Passive_Torrent_MK1_Desc,THCN,1,1,Gun,200,Module,1,,1,1,,,-10,30,,,,
mining_modules_passive_torrent_mk2,item_Mining_Modules_Passive_Torrent_MK2,,item_Mining_Modules_Passive_Torrent_MK2_Desc,THCN,1,1,Gun,200,Module,1,,1,1,,,-3,35,,,,
mining_modules_passive_torrent_mk3,item_Mining_Modules_Passive_Torrent_MK3,,item_Mining_Modules_Passive_Torrent_MK3_Desc,THCN,1,1,Gun,200,Module,1,,1,1,,,-1,45,,,,
mining_modules_passive_vaux_mk1,item_Mining_Modules_Passive_Vaux_MK1,,item_Mining_Modules_Passive_Vaux_MK1_Desc,SHIN,1,1,Gun,200,Module,1,,1,1.15,,,,-20,,,,
mining_modules_passive_vaux_mk2,item_Mining_Modules_Passive_Vaux_MK2,,item_Mining_Modules_Passive_Vaux_MK2_Desc,SHIN,1,1,Gun,200,Module,1,,1,1.2,,,,-15,,,,
mining_modules_passive_vaux_mk3,item_Mining_Modules_Passive_Vaux_MK3,,item_Mining_Modules_Passive_Vaux_MK3_Desc,SHIN,1,1,Gun,200,Module,1,,1,1.25,,,,-5,,,,
mining_modules_passive_xtr_mk1,item_Mining_Modules_Passive_XTR_MK1,,item_Mining_Modules_Passive_XTR_MK1_Desc,GRIN,1,1,Gun,200,Module,1,,1,0.85,,,15,,,,,5
mining_modules_passive_xtr_mk2,item_Mining_Modules_Passive_XTR_MK2,,item_Mining_Modules_Passive_XTR_MK2_Desc,GRIN,1,1,Gun,200,Module,1,,1,0.9,,,22,,,,,5.75
mining_modules_passive_xtr_mk3,item_Mining_Modules_Passive_XTR_MK3,,item_Mining_Modules_Passive_XTR_MK3_Desc,GRIN,1,1,Gun,200,Module,1,,1,0.95,,,25,,,,,6
mining_modules_vehiclemod_argogeo,item_Mining_Modules_VehicleMod_ARGOGeo_Name,,item_Mining_Modules_VehicleMod_ARGOGeo_Desc,THCN,1,1,Gun,200,Module,0,,0.15,1,,,,,,,,
mining_modules_vehiclemod_rocds,item_Mining_Modules_VehicleMod_ROCds_Name,,item_Mining_Modules_VehicleMod_ROCds_Desc,THCN,1,1,Gun,200,Module,0,,1,1,,,,,,,,
